date,t,lights,T2,Windspeed,RH1,T3,RH6,RH8,RHO,t-1,t-2,t-3
2016/1/12 1:00,380,20,20.5,6,45.3725,20.1,89.06333333,52.16333333,92,380,310,50
2016/1/12 1:10,370,20,20.39,5.833333333,45.4,20.1,91.16,52.5,92,380,380,310
2016/1/12 1:20,120,10,20.39,5.666666667,45.59,20.1,91.43333333,52.9,92,370,380,380
2016/1/12 1:30,50,0,20.29,5.5,45.59,20.16666667,91.26,53.5,92,120,370,380
2016/1/12 1:40,40,0,20.23,5.333333333,45.66666667,20.13333333,91.59333333,53.96,92,50,120,370
2016/1/12 1:50,50,0,20.2,5.166666667,46.06,20.2,91.76,54.46333333,92,40,50,120
2016/1/12 2:00,40,0,20.2,5,46.2,20.16666667,91.76,54.7225,92,50,40,50
2016/1/12 2:10,50,0,20.1,4.833333333,46.2,20.125,91.83333333,54.96666667,92,40,50,40
2016/1/12 2:20,50,0,20.1,4.666666667,46.26,20.13333333,92.56666667,54.96666667,92,50,40,50
2016/1/12 2:30,50,0,20,4.5,46.2,20.2,93.53,54.9,92,50,50,40
2016/1/12 2:40,40,0,20,4.333333333,46.2,20.2,93.32333333,54.86333333,92,50,50,50
2016/1/12 2:50,40,0,20,4.166666667,46.12666667,20.2,93.12666667,54.79,92,40,50,50
2016/1/12 3:00,30,0,19.89,4,46.06666667,20.2,92.86666667,54.9,92,40,40,50
2016/1/12 3:10,20,0,19.82333333,4.333333333,46.2,20.29,92.96666667,54.96666667,92.16666667,30,40,40
2016/1/12 3:20,20,0,19.79,4.666666667,46.29,20.29,93.09333333,55.09,92.33333333,20,30,40
2016/1/12 3:30,40,0,19.79,5,46.23,20.2,94.045,55.03,92.5,20,20,30
2016/1/12 3:40,50,0,19.76,5.333333333,46.29,20.2,94.65666667,54.86333333,92.66666667,40,20,20
2016/1/12 3:50,50,0,19.7,5.666666667,46.36333333,20.2,94.79666667,54.73,92.83333333,50,40,20
2016/1/12 4:00,40,0,19.7,6,46.5,20.26,95.03,54.56,93,50,50,40
2016/1/12 4:10,50,0,19.63333333,5.833333333,46.545,20.29,95.03,54.5,92.66666667,40,50,50
2016/1/12 4:20,40,0,19.6,5.666666667,46.5,20.29,94.86666667,54.5,92.33333333,50,40,50
2016/1/12 4:30,40,0,19.6,5.5,46.43333333,20.29,94.72666667,54.5,92,40,50,40
2016/1/12 4:40,40,0,19.56666667,5.333333333,46.56,20.29,94.49333333,54.4,91.66666667,40,40,50
2016/1/12 4:50,60,0,19.5,5.166666667,46.36333333,20.29,94.22666667,54.4,91.33333333,40,40,40
2016/1/12 5:00,50,0,19.5,5,46.36333333,20.29,94.12666667,54.29,91,60,40,40
2016/1/12 5:10,50,0,19.42666667,4.833333333,46.5,20.29,94,54.23,91.66666667,50,60,40
2016/1/12 5:20,40,0,19.39,4.666666667,46.36,20.29,93.56333333,54.045,92.33333333,50,50,60
2016/1/12 5:30,40,0,19.39,4.5,46.29,20.35666667,94.02333333,54,93,40,50,50
2016/1/12 5:40,40,0,19.39,4.333333333,46.29,20.39,94.72666667,54,93.66666667,40,40,50
2016/1/12 5:50,40,0,19.39,4.166666667,46.23,20.32333333,95,53.9,94.33333333,40,40,40
2016/1/12 6:00,50,0,19.29,4,46.23,20.32333333,95.53,53.82666667,95,40,40,40
2016/1/12 6:10,70,10,19.29,4.166666667,46.23,20.32333333,95.82,53.79,94.66666667,50,40,40
2016/1/12 6:20,40,0,19.29,4.333333333,46.43,20.29,96.03,53.79,94.33333333,70,50,40
2016/1/12 6:30,30,0,19.29,4.5,46.62666667,20.29,95.9,53.76,94,40,70,50
2016/1/12 6:40,20,10,19.218,4.666666667,46.7,20.29,95.96666667,53.7,93.66666667,30,40,70
2016/1/12 6:50,30,0,19.2,4.833333333,46.86333333,20.29,95.93333333,53.875,93.33333333,20,30,40
2016/1/12 7:00,40,10,19.2,5,46.86333333,20.2,95.93333333,54,93,30,20,30
2016/1/12 7:10,50,10,19.2,5,46.93,20.2,96.09,54.06,92.66666667,40,30,20
2016/1/12 7:20,60,20,19.2,5,46.79,20.16666667,96.09,53.8,92.33333333,50,40,30
2016/1/12 7:30,60,20,19.175,5,46.895,20.1,96.09,53.15,92,60,50,40
2016/1/12 7:40,70,20,19.1,5,47.42666667,20.1,96.09,52.8,91.66666667,60,60,50
2016/1/12 7:50,60,30,19.1,5,48.36666667,20.1,96.09,52.36333333,91.33333333,70,60,60
2016/1/12 8:00,140,20,19.1,5,48.66666667,20.2,96.15666667,51.96333333,91,60,70,60
2016/1/12 8:10,110,30,19.06666667,5,48.53333333,20.13333333,96.02666667,51.63333333,91,140,60,70
2016/1/12 8:20,90,10,19.02222222,5,50,20.15,95.76,51.395,91,110,140,60
2016/1/12 8:30,60,0,19.1,5,48.73333333,20.1,95.45666667,51.045,91,90,110,140
2016/1/12 8:40,60,0,19.03333333,5,48.02666667,20.1,94.79,50.76,91,60,90,110
2016/1/12 8:50,60,0,19,5,47.63333333,20.1,94.19333333,50.645,91,60,60,90
2016/1/12 9:00,50,0,19,5,47.06333333,20.1,94.45,50.42,91,60,60,60
2016/1/12 9:10,60,0,19,5,46.65666667,20.1,94.19333333,50.15666667,91,50,60,60
2016/1/12 9:20,50,0,19,5,46.33333333,20.1,94.66666667,50.02666667,91,60,50,60
2016/1/12 9:30,30,0,19,5,46.06666667,20.1,95,49.82666667,91,50,60,50
2016/1/12 9:40,40,0,18.96333333,5,45.86333333,20.03333333,95.39666667,49.66333333,91,30,50,60
2016/1/12 9:50,30,0,18.96333333,5,45.79,20,95.79666667,49.59,91,40,30,50
2016/1/12 10:00,260,0,18.89,5,45.66333333,20,96.26,49.46666667,91,30,40,30
2016/1/12 10:10,500,0,18.89,5,45.59,19.89,96.46666667,49.4,90.16666667,260,30,40
2016/1/12 10:20,450,0,18.92666667,5,47.79333333,19.89,96.56,49.26,89.33333333,500,260,30
2016/1/12 10:30,50,10,19,5,48.79333333,19.89,96.5,49.2,88.5,450,500,260
2016/1/12 10:40,60,0,19.03333333,5,47.94,19.96333333,96.56,49.09,87.66666667,50,450,500
2016/1/12 10:50,60,0,19.03333333,5,47.16,19.92666667,96.29333333,49.09,86.83333333,60,50,450
2016/1/12 11:00,50,0,19.03333333,5,46.76666667,20,96.19,49,86,60,60,50
2016/1/12 11:10,50,0,19.1,5.333333333,46.29666667,20,96.19,48.93333333,85.16666667,50,60,60
2016/1/12 11:20,50,0,19.1,5.666666667,45.96333333,19.92666667,95.02333333,48.59,84.33333333,50,50,60
2016/1/12 11:30,60,0,19.1,6,46.22333333,19.945,94.56333333,48.46333333,83.5,50,50,50
2016/1/12 11:40,60,0,19.1,6.333333333,45.96333333,19.89,93.745,48.19,82.66666667,60,50,50
2016/1/12 11:50,60,0,19.15,6.666666667,45.72333333,19.89,91.23,47.96666667,81.83333333,60,60,50
2016/1/12 12:00,60,0,19.2,7,45.66333333,19.96333333,88.89666667,47.82666667,81,60,60,60
2016/1/12 12:10,190,0,19.2,7,45.5,19.96333333,85.46333333,47.59,80.66666667,60,60,60
2016/1/12 12:20,220,0,19.2,7,45.69333333,20,84.39666667,47.545,80.33333333,190,60,60
2016/1/12 12:30,170,0,19.2,7,45.4,20,83.1,47.35222222,80,220,190,60
2016/1/12 12:40,390,0,19.2,7,45.32666667,19.96333333,82.89333333,47.2,79.66666667,170,220,190
2016/1/12 12:50,90,0,19.2,7,45.32666667,19.89,82.33333333,47.2,79.33333333,390,170,220
2016/1/12 13:00,60,0,19.2,7,46.99333333,19.89,81,47.12666667,79,90,390,170
2016/1/12 13:10,290,0,19.1,7.166666667,46.43,19.89,80.36,47.23,79.33333333,60,90,390
2016/1/12 13:20,130,0,19.1,7.333333333,46.03,19.89,80.36,47.29,79.66666667,290,60,90
2016/1/12 13:30,140,0,19.1,7.5,45.36333333,19.89,78.79,47.33,80,130,290,60
2016/1/12 13:40,240,0,19.1,7.666666667,44.96333333,19.89,78.19,47.2825,80.33333333,140,130,290
2016/1/12 13:50,50,0,19.1,7.833333333,44.76,19.89,78.73,47.13714286,80.66666667,240,140,130
2016/1/12 14:00,60,0,19.1,8,44.595,19.89,77.19666667,47.01133333,81,50,240,140
2016/1/12 14:10,60,0,19.1,7.5,44.43333333,19.89,76.32333333,46.91666667,80.16666667,60,50,240
2016/1/12 14:20,60,0,19.1,7,44.26,19.89,76.46333333,46.86333333,79.33333333,60,60,50
2016/1/12 14:30,370,0,19.1,6.5,44.2,19.89,77.4,46.79,78.5,60,60,60
2016/1/12 14:40,200,0,19.03333333,6,44.06,19.945,77.63333333,47,77.66666667,370,60,60
2016/1/12 14:50,70,0,19,5.5,44.06,19.89,78.82666667,46.93333333,76.83333333,200,370,60
2016/1/12 15:00,50,0,19,5,44.09,19.89,79.49,47,76,70,200,370
2016/1/12 15:10,40,0,19,4.833333333,44.03,19.89,78.75666667,47,77,50,70,200
2016/1/12 15:20,40,0,18.92666667,4.666666667,43.9,19.89,79.06,46.9,78,40,50,70
2016/1/12 15:30,30,0,19.03333333,4.5,43.9,19.89,82.53333333,46.6725,79,40,40,50
2016/1/12 15:40,30,0,19.1,4.333333333,43.86333333,19.89,81.02666667,46.53,80,30,40,40
2016/1/12 15:50,30,0,19.13333333,4.166666667,43.86333333,19.89,76.83333333,46.22333333,81,30,30,40
2016/1/12 16:00,30,0,19.2,4,43.79,19.89,75.13333333,45.98083333,82,30,30,30
2016/1/12 16:10,40,0,19.13636364,4.5,43.73,19.89,75.33333333,45.88777778,80.83333333,30,30,30
2016/1/12 16:20,50,0,19.13,5,43.56,19.89,73.76,45.81,79.66666667,40,30,30
2016/1/12 16:30,40,0,19.1,5.5,43.43333333,19.89,73.5,45.79,78.5,50,40,30
2016/1/12 16:40,40,0,19.0375,6,43.16333333,19.82333333,75.7,45.72454545,77.33333333,40,50,40
2016/1/12 16:50,40,0,19.00769231,6.5,43.03,19.79,76.36666667,45.711875,76.16666667,40,40,50
2016/1/12 17:00,60,0,19,7,42.83333333,19.79,76.89333333,45.79,75,40,40,40
2016/1/12 17:10,60,10,19,7,42.6725,19.79,77.56,45.80833333,76.66666667,60,40,40
2016/1/12 17:20,210,20,18.99,7,42.53,19.79,77.995,45.9,78.33333333,60,60,40
2016/1/12 17:30,380,20,18.90222222,7,43.49666667,19.82333333,78.7,46,80,210,60,60
2016/1/12 17:40,370,40,18.89,7,42.96333333,19.89,81.03333333,46,81.66666667,380,210,60
2016/1/12 17:50,230,30,18.89,7,43.16,19.89,82.89333333,46.12666667,83.33333333,370,380,210
2016/1/12 18:00,80,40,18.85666667,7,43.9,19.79,83.43333333,46.33333333,85,230,370,380
2016/1/12 18:10,90,30,18.85666667,6.833333333,43.7,19.79,84.25666667,46.62666667,86,80,230,370
2016/1/12 18:20,70,20,18.92666667,6.666666667,43.76,19.79,85.06333333,46.83333333,87,90,80,230
2016/1/12 18:30,40,10,19,6.5,44,19.79,86.45666667,47.02666667,88,70,90,80
2016/1/12 18:40,40,0,19.2,6.333333333,44.26,19.89,87.66333333,46.9,89,40,70,90
2016/1/12 18:50,30,0,19.245,6.166666667,44.2,19.89,88.63333333,46.7675,90,40,40,70
2016/1/12 19:00,50,0,19.29,6,44.12666667,19.79,89.42666667,46.645,91,30,40,40
2016/1/12 19:10,50,0,19.37,6.166666667,44.06,19.79,90.22666667,46.5,91.33333333,50,30,40
2016/1/12 19:20,60,0,19.39,6.333333333,44,19.79,90.89333333,46.56,91.66666667,50,50,30
2016/1/12 19:30,50,0,19.39,6.5,43.9,19.79,91.4,46.9,92,60,50,50
2016/1/12 19:40,60,0,19.39,6.666666667,43.82666667,19.79,91.26,47.12666667,92.33333333,50,60,50
2016/1/12 19:50,60,0,19.39,6.833333333,43.73,19.79,90.96333333,47.26,92.66666667,60,50,60
2016/1/12 20:00,60,0,19.39,7,43.73,19.79,91.2725,47.32666667,93,60,60,50
2016/1/12 20:10,50,0,19.35666667,6.833333333,43.49,19.79,92.46,47.4,92.66666667,60,60,60
2016/1/12 20:20,50,0,19.29,6.666666667,43.29,19.79,93.19,47.4,92.33333333,50,60,60
2016/1/12 20:30,50,0,19.29,6.5,43.145,19.79,93.19,47.4,92,50,50,60
2016/1/12 20:40,50,0,19.26,6.333333333,43.06,19.79,93.06,47.4,91.66666667,50,50,50
2016/1/12 20:50,50,0,19.2,6.166666667,43,19.79,92.93333333,47.4,91.33333333,50,50,50
2016/1/12 21:00,60,0,19.2,6,42.86333333,19.79,93.36666667,47.4,91,50,50,50
2016/1/12 21:10,60,0,19.2,6.166666667,42.79,19.79,93.89333333,47.32666667,90.5,60,50,50
2016/1/12 21:20,40,0,19.1,6.333333333,42.7,19.79,94.26333333,47.29,90,60,60,50
2016/1/12 21:30,30,0,19.1,6.5,42.62666667,19.79,94.39666667,47.29,89.5,40,60,60
2016/1/12 21:40,30,20,19.04444444,6.666666667,42.59,19.73,94.4,47.29,89,30,40,60
2016/1/12 21:50,30,10,19,6.833333333,42.72333333,19.7,94.26,47.48166667,88.5,30,30,40
2016/1/12 22:00,40,0,19,7,42.76,19.7,94.39666667,47.70545455,88,30,30,30
2016/1/12 22:10,50,10,19,6.833333333,42.7,19.7,94.59,48.3425,87.33333333,40,30,30
2016/1/12 22:20,50,0,19,6.666666667,42.7,19.7,94.62666667,48.84176471,86.66666667,50,40,30
2016/1/12 22:30,50,0,18.910625,6.5,42.62666667,19.73,94.29333333,49.32272727,86,50,50,40
2016/1/12 22:40,40,0,18.89,6.333333333,43,19.79,93.63333333,49.664375,85.33333333,50,50,50
2016/1/12 22:50,50,0,18.89,6.166666667,43,19.79,92.47,50.05909091,84.66666667,40,50,50
2016/1/12 23:00,40,0,18.89,6,43,19.79,90.8,50.39,84,50,40,50
2016/1/12 23:10,40,0,18.80818182,6.333333333,43,19.79,89.1,50.56714286,83.33333333,40,50,40
2016/1/12 23:20,40,0,18.79,6.666666667,43.09,19.79,87.36666667,50.88285714,82.66666667,40,40,50
2016/1/12 23:30,40,0,18.79,7,43.09,19.79,85.43,51.25,82,40,40,40
2016/1/12 23:40,50,0,18.79,7.333333333,43.145,19.79,84.62333333,51.465,81.33333333,40,40,40
2016/1/12 23:50,50,0,18.775,7.666666667,43.2,19.89,83.82666667,51.59,80.66666667,50,40,40
2016/1/13 0:00,50,0,18.7,8,43.2,19.89,82.56,51.63125,80,50,50,40
2016/1/13 0:10,30,0,18.7,8,43.2,19.89,80.95666667,51.79428571,81.33333333,50,50,50
2016/1/13 0:20,20,0,18.7,8,43.26,19.89,80.69,51.925,82.66666667,30,50,50
2016/1/13 0:30,30,0,18.69090909,8,43.29,19.89,84.03333333,52.18555556,84,20,30,50
2016/1/13 0:40,20,0,18.67777778,8,43.36333333,19.89,86.56,52.25,85.33333333,30,20,30
2016/1/13 0:50,40,0,18.64285714,8,43.4,19.82333333,87.45666667,52.32142857,86.66666667,20,30,20
2016/1/13 1:00,50,0,18.6,8,43.46666667,19.79,86.33,52.29,88,40,20,30
2016/1/13 1:10,60,0,18.6,8,43.5,19.79,86.32666667,52.43333333,88.5,50,40,20
2016/1/13 1:20,50,0,18.6,8,43.56,19.79,87.46666667,52.63333333,89,60,50,40
2016/1/13 1:30,40,0,18.58888889,8,43.59,19.85666667,89.32666667,53.17333333,89.5,50,60,50
2016/1/13 1:40,40,0,18.5,8,43.59,19.89,89.97,53.46666667,90,40,50,60
2016/1/13 1:50,50,0,18.5,8,43.7,19.89,89.83333333,54.00625,90.5,40,40,50
2016/1/13 2:00,40,0,18.5,8,43.76,19.89,89.26333333,54.55714286,91,50,40,40
2016/1/13 2:10,40,0,18.5,8,43.7,19.89,89.19,54.84777778,90.66666667,40,50,40
2016/1/13 2:20,50,0,18.5,8,43.76,19.89,88.39333333,55,90.33333333,40,40,50
2016/1/13 2:30,50,0,18.5,8,43.79,19.89,87.32666667,54.94444444,90,50,40,40
2016/1/13 2:40,50,0,18.5,8,43.86333333,19.89,86.06,54.96111111,89.66666667,50,50,40
2016/1/13 2:50,40,0,18.48307692,8,43.9,19.96333333,86,54.88166667,89.33333333,50,50,50
2016/1/13 3:00,30,0,18.49388889,8,43.93333333,19.89,85.33333333,54.765,89,40,50,50
2016/1/13 3:10,20,0,18.42055556,8,44,19.89,85.06,54.65722222,89,30,40,50
2016/1/13 3:20,20,0,18.39611111,8,44,19.89,84.76,54.545,89,20,30,40
2016/1/13 3:30,20,0,18.39,8,44,19.89,84.63333333,54.43277778,89,20,20,30
2016/1/13 3:40,50,0,18.39,8,44.09,19.82333333,83.19666667,54.29222222,89,20,20,20
2016/1/13 3:50,50,0,18.37181818,8,44.09,19.79,82.25666667,54.205,89,50,20,20
2016/1/13 4:00,50,0,18.30764706,8,44.03,19.79,80.99,54.14923077,89,50,50,20
2016/1/13 4:10,40,0,18.34294118,8,44.09,19.82333333,80.19666667,54.09,89.16666667,50,50,50
2016/1/13 4:20,40,0,18.34,8,44.09,19.82333333,80.14,54.09,89.33333333,40,50,50
2016/1/13 4:30,50,0,18.29,8,44.09,19.89,79.73,54.015,89.5,40,40,50
2016/1/13 4:40,40,0,18.29,8,44.09,19.89,79.86333333,53.92777778,89.66666667,50,40,40
2016/1/13 4:50,50,0,18.29,8,44.16333333,19.89,80.02666667,53.85722222,89.83333333,40,50,40
2016/1/13 5:00,50,0,18.273125,8,44.2,19.89,79.63333333,53.784375,90,50,40,50
2016/1/13 5:10,50,0,18.29,7.833333333,44.2,19.89,78.83,53.72571429,90,50,50,40
2016/1/13 5:20,40,0,18.245,7.666666667,44.2,19.89,78.43,53.66333333,90,50,50,50
2016/1/13 5:30,40,0,18.2,7.5,44.2,19.96333333,78.82333333,53.59,90,40,50,50
2016/1/13 5:40,50,0,18.2,7.333333333,44.23,19.89,78.96333333,53.5,90,40,40,50
2016/1/13 5:50,20,0,18.2,7.166666667,44.29,19.92666667,78.63333333,53.42,90,50,40,40
2016/1/13 6:00,20,0,18.2,7,44.29,19.92666667,78.36666667,53.38705882,90,20,50,40
2016/1/13 6:10,50,0,18.2,6.833333333,44.365,19.89,78.6,53.29846154,89.83333333,20,20,50
2016/1/13 6:20,30,10,18.2,6.666666667,44.72333333,19.815,78.93333333,53.29,89.66666667,50,20,20
2016/1/13 6:30,50,10,18.2,6.5,45.03,19.73,79.16,53.25363636,89.5,30,50,20
2016/1/13 6:40,50,10,18.17272727,6.333333333,45.09,19.7,79.3,53.16454545,89.33333333,50,30,50
2016/1/13 6:50,200,0,18.18181818,6.166666667,45,19.7,79.46666667,53.26428571,89.16666667,50,50,30
2016/1/13 7:00,110,10,18.15,6,45,19.6,79.33333333,53.14,89,200,50,50
2016/1/13 7:10,80,10,18.1,5.833333333,44.63333333,19.53333333,79.35,52.82666667,89.16666667,110,200,50
2016/1/13 7:20,50,0,18.1,5.666666667,44.5,19.5,79.4,52.3,89.33333333,80,110,200
2016/1/13 7:30,50,0,18.05,5.5,44.59,19.5,79.59333333,51.895,89.5,50,80,110
2016/1/13 7:40,50,0,18.1,5.333333333,44.53,19.5,79.89666667,51.4975,89.66666667,50,50,80
2016/1/13 7:50,40,0,18.1,5.166666667,44.36333333,19.5,80.09,51.06666667,89.83333333,50,50,50
2016/1/13 8:00,40,0,18,5,44.23,19.5,79.89666667,50.9,90,40,50,50
2016/1/13 8:10,30,0,18,4.833333333,44.06,19.5,79.49666667,50.56,89.66666667,40,40,50
2016/1/13 8:20,180,20,18,4.666666667,43.93333333,19.5,79.4,50.2925,89.33333333,30,40,40
2016/1/13 8:30,350,30,18,4.5,43.9,19.42666667,79.4,50.03,89,180,30,40
2016/1/13 8:40,350,20,18,4.333333333,43.9,19.39,79.06,49.76,88.66666667,350,180,30
2016/1/13 8:50,300,30,18,4.166666667,44,19.39,79.12666667,49.62666667,88.33333333,350,350,180
2016/1/13 9:00,400,20,18.06666667,4,44.06,19.39,79.15666667,49.36333333,88,300,350,350
2016/1/13 9:10,390,30,18.13333333,4.166666667,44.23,19.46333333,79.09,49.23,88,400,300,350
2016/1/13 9:20,290,30,18.26,4.333333333,44.3975,19.5,78.99333333,49.13333333,88,390,400,300
2016/1/13 9:30,60,30,18.32333333,4.5,44.5,19.5,78.66,48.93333333,88,290,390,400
2016/1/13 9:40,70,20,18.46333333,4.666666667,44.5,19.42666667,79.46666667,49.16333333,88,60,290,390
2016/1/13 9:50,110,30,18.53333333,4.833333333,44.36,19.46333333,79.99333333,49.22333333,88,70,60,290
2016/1/13 10:00,90,20,18.6,5,44.06,19.39,80.39,49.52666667,88,110,70,60
2016/1/13 10:10,60,20,18.6,5,44.06,19.39,80.93333333,49.26666667,86.83333333,90,110,70
2016/1/13 10:20,70,20,18.66666667,5,44.09,19.46333333,80.72666667,48.995,85.66666667,60,90,110
2016/1/13 10:30,80,20,18.7,5,44.16333333,19.5,79.89333333,48.66333333,84.5,70,60,90
2016/1/13 10:40,60,0,18.76,5,44.39,19.5,77.1,48.46333333,83.33333333,80,70,60
2016/1/13 10:50,40,10,18.79,5,44.79666667,19.5,74.86666667,48.16333333,82.16666667,60,80,70
2016/1/13 11:00,30,10,18.79,5,45.16333333,19.5,75.72666667,47.89,81,40,60,80
2016/1/13 11:10,70,10,18.7,5.166666667,45.03,19.39,76,47.7,80.16666667,30,40,60
2016/1/13 11:20,50,10,18.7,5.333333333,45.73333333,19.39,76.12666667,47.56666667,79.33333333,70,30,40
2016/1/13 11:30,80,10,18.7,5.5,45.12666667,19.32333333,75.29333333,47.46666667,78.5,50,70,30
2016/1/13 11:40,80,10,18.7,5.666666667,44.83333333,19.39,73.56,47.32666667,77.66666667,80,50,70
2016/1/13 11:50,50,0,18.63333333,5.833333333,44.7,19.39,71.8,47.16333333,76.83333333,80,80,50
2016/1/13 12:00,40,0,18.6,6,44.9,19.39,69.93333333,47.03,76,50,80,80
2016/1/13 12:10,50,0,18.6,5.833333333,44.69333333,19.46333333,67.36,46.86333333,76.33333333,40,50,80
2016/1/13 12:20,40,0,18.5,5.666666667,43.6,19.39,65.96666667,46.73,76.66666667,50,40,50
2016/1/13 12:30,40,0,18.5,5.5,43.12,19.39,64.63333333,46.46666667,77,40,50,40
2016/1/13 12:40,50,0,18.5,5.333333333,42.76666667,19.365,64.9,46.32666667,77.33333333,40,40,50
2016/1/13 12:50,30,0,18.5,5.166666667,42.46666667,19.35666667,63.34,46.16333333,77.66666667,50,40,40
2016/1/13 13:00,30,0,18.5,5,42.26666667,19.29,62.02666667,46.03,78,30,50,40
2016/1/13 13:10,20,0,18.5,5,42.09,19.29,61.89333333,45.86333333,76.83333333,30,30,50
2016/1/13 13:20,20,0,18.46333333,5,41.96333333,19.29,62.19333333,45.73,75.66666667,20,30,30
2016/1/13 13:30,50,0,18.39,5,41.76,19.29,62.46666667,45.545,74.5,20,20,30
2016/1/13 13:40,40,0,18.39,5,41.62666667,19.29,61.96666667,45.46666667,73.33333333,50,20,20
2016/1/13 13:50,50,0,18.39,5,41.56,19.23,59.89333333,45.4,72.16666667,40,50,20
2016/1/13 14:00,40,0,18.39,5,41.43333333,19.26,59.76333333,45.22333333,71,50,40,50
