t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
370.0,120.0,50.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,30.0,20
120.0,50.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,30.0,20.0,20
50.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,30.0,20.0,20.0,40
40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,30.0,20.0,20.0,40.0,50
50.0,40.0,50.0,50.0,50.0,40.0,40.0,30.0,20.0,20.0,40.0,50.0,50
40.0,50.0,50.0,50.0,40.0,40.0,30.0,20.0,20.0,40.0,50.0,50.0,40
50.0,50.0,50.0,40.0,40.0,30.0,20.0,20.0,40.0,50.0,50.0,40.0,50
50.0,50.0,40.0,40.0,30.0,20.0,20.0,40.0,50.0,50.0,40.0,50.0,40
50.0,40.0,40.0,30.0,20.0,20.0,40.0,50.0,50.0,40.0,50.0,40.0,40
40.0,40.0,30.0,20.0,20.0,40.0,50.0,50.0,40.0,50.0,40.0,40.0,40
40.0,30.0,20.0,20.0,40.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,60
30.0,20.0,20.0,40.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,60.0,50
20.0,20.0,40.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,60.0,50.0,50
20.0,40.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,60.0,50.0,50.0,40
40.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,60.0,50.0,50.0,40.0,40
50.0,50.0,40.0,50.0,40.0,40.0,40.0,60.0,50.0,50.0,40.0,40.0,40
50.0,40.0,50.0,40.0,40.0,40.0,60.0,50.0,50.0,40.0,40.0,40.0,40
40.0,50.0,40.0,40.0,40.0,60.0,50.0,50.0,40.0,40.0,40.0,40.0,50
50.0,40.0,40.0,40.0,60.0,50.0,50.0,40.0,40.0,40.0,40.0,50.0,70
40.0,40.0,40.0,60.0,50.0,50.0,40.0,40.0,40.0,40.0,50.0,70.0,40
40.0,40.0,60.0,50.0,50.0,40.0,40.0,40.0,40.0,50.0,70.0,40.0,30
40.0,60.0,50.0,50.0,40.0,40.0,40.0,40.0,50.0,70.0,40.0,30.0,20
60.0,50.0,50.0,40.0,40.0,40.0,40.0,50.0,70.0,40.0,30.0,20.0,30
50.0,50.0,40.0,40.0,40.0,40.0,50.0,70.0,40.0,30.0,20.0,30.0,40
50.0,40.0,40.0,40.0,40.0,50.0,70.0,40.0,30.0,20.0,30.0,40.0,50
40.0,40.0,40.0,40.0,50.0,70.0,40.0,30.0,20.0,30.0,40.0,50.0,60
40.0,40.0,40.0,50.0,70.0,40.0,30.0,20.0,30.0,40.0,50.0,60.0,60
40.0,40.0,50.0,70.0,40.0,30.0,20.0,30.0,40.0,50.0,60.0,60.0,70
40.0,50.0,70.0,40.0,30.0,20.0,30.0,40.0,50.0,60.0,60.0,70.0,60
50.0,70.0,40.0,30.0,20.0,30.0,40.0,50.0,60.0,60.0,70.0,60.0,140
70.0,40.0,30.0,20.0,30.0,40.0,50.0,60.0,60.0,70.0,60.0,140.0,110
40.0,30.0,20.0,30.0,40.0,50.0,60.0,60.0,70.0,60.0,140.0,110.0,90
30.0,20.0,30.0,40.0,50.0,60.0,60.0,70.0,60.0,140.0,110.0,90.0,60
20.0,30.0,40.0,50.0,60.0,60.0,70.0,60.0,140.0,110.0,90.0,60.0,60
30.0,40.0,50.0,60.0,60.0,70.0,60.0,140.0,110.0,90.0,60.0,60.0,60
40.0,50.0,60.0,60.0,70.0,60.0,140.0,110.0,90.0,60.0,60.0,60.0,50
50.0,60.0,60.0,70.0,60.0,140.0,110.0,90.0,60.0,60.0,60.0,50.0,60
60.0,60.0,70.0,60.0,140.0,110.0,90.0,60.0,60.0,60.0,50.0,60.0,50
60.0,70.0,60.0,140.0,110.0,90.0,60.0,60.0,60.0,50.0,60.0,50.0,30
70.0,60.0,140.0,110.0,90.0,60.0,60.0,60.0,50.0,60.0,50.0,30.0,40
60.0,140.0,110.0,90.0,60.0,60.0,60.0,50.0,60.0,50.0,30.0,40.0,30
140.0,110.0,90.0,60.0,60.0,60.0,50.0,60.0,50.0,30.0,40.0,30.0,260
110.0,90.0,60.0,60.0,60.0,50.0,60.0,50.0,30.0,40.0,30.0,260.0,500
90.0,60.0,60.0,60.0,50.0,60.0,50.0,30.0,40.0,30.0,260.0,500.0,450
60.0,60.0,60.0,50.0,60.0,50.0,30.0,40.0,30.0,260.0,500.0,450.0,50
60.0,60.0,50.0,60.0,50.0,30.0,40.0,30.0,260.0,500.0,450.0,50.0,60
60.0,50.0,60.0,50.0,30.0,40.0,30.0,260.0,500.0,450.0,50.0,60.0,60
50.0,60.0,50.0,30.0,40.0,30.0,260.0,500.0,450.0,50.0,60.0,60.0,50
60.0,50.0,30.0,40.0,30.0,260.0,500.0,450.0,50.0,60.0,60.0,50.0,50
50.0,30.0,40.0,30.0,260.0,500.0,450.0,50.0,60.0,60.0,50.0,50.0,50
30.0,40.0,30.0,260.0,500.0,450.0,50.0,60.0,60.0,50.0,50.0,50.0,60
40.0,30.0,260.0,500.0,450.0,50.0,60.0,60.0,50.0,50.0,50.0,60.0,60
30.0,260.0,500.0,450.0,50.0,60.0,60.0,50.0,50.0,50.0,60.0,60.0,60
260.0,500.0,450.0,50.0,60.0,60.0,50.0,50.0,50.0,60.0,60.0,60.0,60
500.0,450.0,50.0,60.0,60.0,50.0,50.0,50.0,60.0,60.0,60.0,60.0,190
450.0,50.0,60.0,60.0,50.0,50.0,50.0,60.0,60.0,60.0,60.0,190.0,220
50.0,60.0,60.0,50.0,50.0,50.0,60.0,60.0,60.0,60.0,190.0,220.0,170
60.0,60.0,50.0,50.0,50.0,60.0,60.0,60.0,60.0,190.0,220.0,170.0,390
60.0,50.0,50.0,50.0,60.0,60.0,60.0,60.0,190.0,220.0,170.0,390.0,90
50.0,50.0,50.0,60.0,60.0,60.0,60.0,190.0,220.0,170.0,390.0,90.0,60
50.0,50.0,60.0,60.0,60.0,60.0,190.0,220.0,170.0,390.0,90.0,60.0,290
50.0,60.0,60.0,60.0,60.0,190.0,220.0,170.0,390.0,90.0,60.0,290.0,130
60.0,60.0,60.0,60.0,190.0,220.0,170.0,390.0,90.0,60.0,290.0,130.0,140
60.0,60.0,60.0,190.0,220.0,170.0,390.0,90.0,60.0,290.0,130.0,140.0,240
60.0,60.0,190.0,220.0,170.0,390.0,90.0,60.0,290.0,130.0,140.0,240.0,50
60.0,190.0,220.0,170.0,390.0,90.0,60.0,290.0,130.0,140.0,240.0,50.0,60
190.0,220.0,170.0,390.0,90.0,60.0,290.0,130.0,140.0,240.0,50.0,60.0,60
220.0,170.0,390.0,90.0,60.0,290.0,130.0,140.0,240.0,50.0,60.0,60.0,60
170.0,390.0,90.0,60.0,290.0,130.0,140.0,240.0,50.0,60.0,60.0,60.0,370
390.0,90.0,60.0,290.0,130.0,140.0,240.0,50.0,60.0,60.0,60.0,370.0,200
90.0,60.0,290.0,130.0,140.0,240.0,50.0,60.0,60.0,60.0,370.0,200.0,70
60.0,290.0,130.0,140.0,240.0,50.0,60.0,60.0,60.0,370.0,200.0,70.0,50
290.0,130.0,140.0,240.0,50.0,60.0,60.0,60.0,370.0,200.0,70.0,50.0,40
130.0,140.0,240.0,50.0,60.0,60.0,60.0,370.0,200.0,70.0,50.0,40.0,40
140.0,240.0,50.0,60.0,60.0,60.0,370.0,200.0,70.0,50.0,40.0,40.0,30
240.0,50.0,60.0,60.0,60.0,370.0,200.0,70.0,50.0,40.0,40.0,30.0,30
50.0,60.0,60.0,60.0,370.0,200.0,70.0,50.0,40.0,40.0,30.0,30.0,30
60.0,60.0,60.0,370.0,200.0,70.0,50.0,40.0,40.0,30.0,30.0,30.0,30
60.0,60.0,370.0,200.0,70.0,50.0,40.0,40.0,30.0,30.0,30.0,30.0,40
60.0,370.0,200.0,70.0,50.0,40.0,40.0,30.0,30.0,30.0,30.0,40.0,50
370.0,200.0,70.0,50.0,40.0,40.0,30.0,30.0,30.0,30.0,40.0,50.0,40
200.0,70.0,50.0,40.0,40.0,30.0,30.0,30.0,30.0,40.0,50.0,40.0,40
70.0,50.0,40.0,40.0,30.0,30.0,30.0,30.0,40.0,50.0,40.0,40.0,40
50.0,40.0,40.0,30.0,30.0,30.0,30.0,40.0,50.0,40.0,40.0,40.0,60
40.0,40.0,30.0,30.0,30.0,30.0,40.0,50.0,40.0,40.0,40.0,60.0,60
40.0,30.0,30.0,30.0,30.0,40.0,50.0,40.0,40.0,40.0,60.0,60.0,210
30.0,30.0,30.0,30.0,40.0,50.0,40.0,40.0,40.0,60.0,60.0,210.0,380
30.0,30.0,30.0,40.0,50.0,40.0,40.0,40.0,60.0,60.0,210.0,380.0,370
30.0,30.0,40.0,50.0,40.0,40.0,40.0,60.0,60.0,210.0,380.0,370.0,230
30.0,40.0,50.0,40.0,40.0,40.0,60.0,60.0,210.0,380.0,370.0,230.0,80
40.0,50.0,40.0,40.0,40.0,60.0,60.0,210.0,380.0,370.0,230.0,80.0,90
50.0,40.0,40.0,40.0,60.0,60.0,210.0,380.0,370.0,230.0,80.0,90.0,70
40.0,40.0,40.0,60.0,60.0,210.0,380.0,370.0,230.0,80.0,90.0,70.0,40
40.0,40.0,60.0,60.0,210.0,380.0,370.0,230.0,80.0,90.0,70.0,40.0,40
40.0,60.0,60.0,210.0,380.0,370.0,230.0,80.0,90.0,70.0,40.0,40.0,30
60.0,60.0,210.0,380.0,370.0,230.0,80.0,90.0,70.0,40.0,40.0,30.0,50
60.0,210.0,380.0,370.0,230.0,80.0,90.0,70.0,40.0,40.0,30.0,50.0,50
210.0,380.0,370.0,230.0,80.0,90.0,70.0,40.0,40.0,30.0,50.0,50.0,60
380.0,370.0,230.0,80.0,90.0,70.0,40.0,40.0,30.0,50.0,50.0,60.0,50
370.0,230.0,80.0,90.0,70.0,40.0,40.0,30.0,50.0,50.0,60.0,50.0,60
230.0,80.0,90.0,70.0,40.0,40.0,30.0,50.0,50.0,60.0,50.0,60.0,60
80.0,90.0,70.0,40.0,40.0,30.0,50.0,50.0,60.0,50.0,60.0,60.0,60
90.0,70.0,40.0,40.0,30.0,50.0,50.0,60.0,50.0,60.0,60.0,60.0,50
70.0,40.0,40.0,30.0,50.0,50.0,60.0,50.0,60.0,60.0,60.0,50.0,50
40.0,40.0,30.0,50.0,50.0,60.0,50.0,60.0,60.0,60.0,50.0,50.0,50
40.0,30.0,50.0,50.0,60.0,50.0,60.0,60.0,60.0,50.0,50.0,50.0,50
30.0,50.0,50.0,60.0,50.0,60.0,60.0,60.0,50.0,50.0,50.0,50.0,50
50.0,50.0,60.0,50.0,60.0,60.0,60.0,50.0,50.0,50.0,50.0,50.0,60
50.0,60.0,50.0,60.0,60.0,60.0,50.0,50.0,50.0,50.0,50.0,60.0,60
60.0,50.0,60.0,60.0,60.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0,40
50.0,60.0,60.0,60.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0,40.0,30
60.0,60.0,60.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0,40.0,30.0,30
60.0,60.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0,40.0,30.0,30.0,30
60.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0,40.0,30.0,30.0,30.0,40
50.0,50.0,50.0,50.0,50.0,60.0,60.0,40.0,30.0,30.0,30.0,40.0,50
50.0,50.0,50.0,50.0,60.0,60.0,40.0,30.0,30.0,30.0,40.0,50.0,50
50.0,50.0,50.0,60.0,60.0,40.0,30.0,30.0,30.0,40.0,50.0,50.0,50
50.0,50.0,60.0,60.0,40.0,30.0,30.0,30.0,40.0,50.0,50.0,50.0,40
50.0,60.0,60.0,40.0,30.0,30.0,30.0,40.0,50.0,50.0,50.0,40.0,50
60.0,60.0,40.0,30.0,30.0,30.0,40.0,50.0,50.0,50.0,40.0,50.0,40
60.0,40.0,30.0,30.0,30.0,40.0,50.0,50.0,50.0,40.0,50.0,40.0,40
40.0,30.0,30.0,30.0,40.0,50.0,50.0,50.0,40.0,50.0,40.0,40.0,40
30.0,30.0,30.0,40.0,50.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,40
30.0,30.0,40.0,50.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,40.0,50
30.0,40.0,50.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,40.0,50.0,50
40.0,50.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,40.0,50.0,50.0,50
50.0,50.0,50.0,40.0,50.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,30
50.0,50.0,40.0,50.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,30.0,20
50.0,40.0,50.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,30.0,20.0,30
40.0,50.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,30.0,20.0,30.0,20
50.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,30.0,20.0,30.0,20.0,40
40.0,40.0,40.0,40.0,50.0,50.0,50.0,30.0,20.0,30.0,20.0,40.0,50
40.0,40.0,40.0,50.0,50.0,50.0,30.0,20.0,30.0,20.0,40.0,50.0,60
40.0,40.0,50.0,50.0,50.0,30.0,20.0,30.0,20.0,40.0,50.0,60.0,50
40.0,50.0,50.0,50.0,30.0,20.0,30.0,20.0,40.0,50.0,60.0,50.0,40
50.0,50.0,50.0,30.0,20.0,30.0,20.0,40.0,50.0,60.0,50.0,40.0,40
50.0,50.0,30.0,20.0,30.0,20.0,40.0,50.0,60.0,50.0,40.0,40.0,50
50.0,30.0,20.0,30.0,20.0,40.0,50.0,60.0,50.0,40.0,40.0,50.0,40
30.0,20.0,30.0,20.0,40.0,50.0,60.0,50.0,40.0,40.0,50.0,40.0,40
20.0,30.0,20.0,40.0,50.0,60.0,50.0,40.0,40.0,50.0,40.0,40.0,50
30.0,20.0,40.0,50.0,60.0,50.0,40.0,40.0,50.0,40.0,40.0,50.0,50
20.0,40.0,50.0,60.0,50.0,40.0,40.0,50.0,40.0,40.0,50.0,50.0,50
40.0,50.0,60.0,50.0,40.0,40.0,50.0,40.0,40.0,50.0,50.0,50.0,40
50.0,60.0,50.0,40.0,40.0,50.0,40.0,40.0,50.0,50.0,50.0,40.0,30
60.0,50.0,40.0,40.0,50.0,40.0,40.0,50.0,50.0,50.0,40.0,30.0,20
50.0,40.0,40.0,50.0,40.0,40.0,50.0,50.0,50.0,40.0,30.0,20.0,20
40.0,40.0,50.0,40.0,40.0,50.0,50.0,50.0,40.0,30.0,20.0,20.0,20
40.0,50.0,40.0,40.0,50.0,50.0,50.0,40.0,30.0,20.0,20.0,20.0,50
50.0,40.0,40.0,50.0,50.0,50.0,40.0,30.0,20.0,20.0,20.0,50.0,50
40.0,40.0,50.0,50.0,50.0,40.0,30.0,20.0,20.0,20.0,50.0,50.0,50
40.0,50.0,50.0,50.0,40.0,30.0,20.0,20.0,20.0,50.0,50.0,50.0,40
50.0,50.0,50.0,40.0,30.0,20.0,20.0,20.0,50.0,50.0,50.0,40.0,40
50.0,50.0,40.0,30.0,20.0,20.0,20.0,50.0,50.0,50.0,40.0,40.0,50
50.0,40.0,30.0,20.0,20.0,20.0,50.0,50.0,50.0,40.0,40.0,50.0,40
40.0,30.0,20.0,20.0,20.0,50.0,50.0,50.0,40.0,40.0,50.0,40.0,50
30.0,20.0,20.0,20.0,50.0,50.0,50.0,40.0,40.0,50.0,40.0,50.0,50
20.0,20.0,20.0,50.0,50.0,50.0,40.0,40.0,50.0,40.0,50.0,50.0,50
20.0,20.0,50.0,50.0,50.0,40.0,40.0,50.0,40.0,50.0,50.0,50.0,40
20.0,50.0,50.0,50.0,40.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40
50.0,50.0,50.0,40.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,50
50.0,50.0,40.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,50.0,20
50.0,40.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,50.0,20.0,20
40.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,50.0,20.0,20.0,50
40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,50.0,20.0,20.0,50.0,30
50.0,40.0,50.0,50.0,50.0,40.0,40.0,50.0,20.0,20.0,50.0,30.0,50
40.0,50.0,50.0,50.0,40.0,40.0,50.0,20.0,20.0,50.0,30.0,50.0,50
50.0,50.0,50.0,40.0,40.0,50.0,20.0,20.0,50.0,30.0,50.0,50.0,200
50.0,50.0,40.0,40.0,50.0,20.0,20.0,50.0,30.0,50.0,50.0,200.0,110
50.0,40.0,40.0,50.0,20.0,20.0,50.0,30.0,50.0,50.0,200.0,110.0,80
40.0,40.0,50.0,20.0,20.0,50.0,30.0,50.0,50.0,200.0,110.0,80.0,50
40.0,50.0,20.0,20.0,50.0,30.0,50.0,50.0,200.0,110.0,80.0,50.0,50
50.0,20.0,20.0,50.0,30.0,50.0,50.0,200.0,110.0,80.0,50.0,50.0,50
20.0,20.0,50.0,30.0,50.0,50.0,200.0,110.0,80.0,50.0,50.0,50.0,40
20.0,50.0,30.0,50.0,50.0,200.0,110.0,80.0,50.0,50.0,50.0,40.0,40
50.0,30.0,50.0,50.0,200.0,110.0,80.0,50.0,50.0,50.0,40.0,40.0,30
30.0,50.0,50.0,200.0,110.0,80.0,50.0,50.0,50.0,40.0,40.0,30.0,180
50.0,50.0,200.0,110.0,80.0,50.0,50.0,50.0,40.0,40.0,30.0,180.0,350
50.0,200.0,110.0,80.0,50.0,50.0,50.0,40.0,40.0,30.0,180.0,350.0,350
200.0,110.0,80.0,50.0,50.0,50.0,40.0,40.0,30.0,180.0,350.0,350.0,300
110.0,80.0,50.0,50.0,50.0,40.0,40.0,30.0,180.0,350.0,350.0,300.0,400
80.0,50.0,50.0,50.0,40.0,40.0,30.0,180.0,350.0,350.0,300.0,400.0,390
50.0,50.0,50.0,40.0,40.0,30.0,180.0,350.0,350.0,300.0,400.0,390.0,290
50.0,50.0,40.0,40.0,30.0,180.0,350.0,350.0,300.0,400.0,390.0,290.0,60
50.0,40.0,40.0,30.0,180.0,350.0,350.0,300.0,400.0,390.0,290.0,60.0,70
40.0,40.0,30.0,180.0,350.0,350.0,300.0,400.0,390.0,290.0,60.0,70.0,110
40.0,30.0,180.0,350.0,350.0,300.0,400.0,390.0,290.0,60.0,70.0,110.0,90
30.0,180.0,350.0,350.0,300.0,400.0,390.0,290.0,60.0,70.0,110.0,90.0,60
180.0,350.0,350.0,300.0,400.0,390.0,290.0,60.0,70.0,110.0,90.0,60.0,70
350.0,350.0,300.0,400.0,390.0,290.0,60.0,70.0,110.0,90.0,60.0,70.0,80
350.0,300.0,400.0,390.0,290.0,60.0,70.0,110.0,90.0,60.0,70.0,80.0,60
300.0,400.0,390.0,290.0,60.0,70.0,110.0,90.0,60.0,70.0,80.0,60.0,40
400.0,390.0,290.0,60.0,70.0,110.0,90.0,60.0,70.0,80.0,60.0,40.0,30
390.0,290.0,60.0,70.0,110.0,90.0,60.0,70.0,80.0,60.0,40.0,30.0,70
290.0,60.0,70.0,110.0,90.0,60.0,70.0,80.0,60.0,40.0,30.0,70.0,50
60.0,70.0,110.0,90.0,60.0,70.0,80.0,60.0,40.0,30.0,70.0,50.0,80
70.0,110.0,90.0,60.0,70.0,80.0,60.0,40.0,30.0,70.0,50.0,80.0,80
110.0,90.0,60.0,70.0,80.0,60.0,40.0,30.0,70.0,50.0,80.0,80.0,50
90.0,60.0,70.0,80.0,60.0,40.0,30.0,70.0,50.0,80.0,80.0,50.0,40
60.0,70.0,80.0,60.0,40.0,30.0,70.0,50.0,80.0,80.0,50.0,40.0,50
70.0,80.0,60.0,40.0,30.0,70.0,50.0,80.0,80.0,50.0,40.0,50.0,40
80.0,60.0,40.0,30.0,70.0,50.0,80.0,80.0,50.0,40.0,50.0,40.0,40
60.0,40.0,30.0,70.0,50.0,80.0,80.0,50.0,40.0,50.0,40.0,40.0,50
40.0,30.0,70.0,50.0,80.0,80.0,50.0,40.0,50.0,40.0,40.0,50.0,30
30.0,70.0,50.0,80.0,80.0,50.0,40.0,50.0,40.0,40.0,50.0,30.0,30
70.0,50.0,80.0,80.0,50.0,40.0,50.0,40.0,40.0,50.0,30.0,30.0,20
50.0,80.0,80.0,50.0,40.0,50.0,40.0,40.0,50.0,30.0,30.0,20.0,20
80.0,80.0,50.0,40.0,50.0,40.0,40.0,50.0,30.0,30.0,20.0,20.0,50
80.0,50.0,40.0,50.0,40.0,40.0,50.0,30.0,30.0,20.0,20.0,50.0,40
50.0,40.0,50.0,40.0,40.0,50.0,30.0,30.0,20.0,20.0,50.0,40.0,50
40.0,50.0,40.0,40.0,50.0,30.0,30.0,20.0,20.0,50.0,40.0,50.0,40
50.0,40.0,40.0,50.0,30.0,30.0,20.0,20.0,50.0,40.0,50.0,40.0,60
40.0,40.0,50.0,30.0,30.0,20.0,20.0,50.0,40.0,50.0,40.0,60.0,40
40.0,50.0,30.0,30.0,20.0,20.0,50.0,40.0,50.0,40.0,60.0,40.0,40
50.0,30.0,30.0,20.0,20.0,50.0,40.0,50.0,40.0,60.0,40.0,40.0,50
30.0,30.0,20.0,20.0,50.0,40.0,50.0,40.0,60.0,40.0,40.0,50.0,40
30.0,20.0,20.0,50.0,40.0,50.0,40.0,60.0,40.0,40.0,50.0,40.0,40
20.0,20.0,50.0,40.0,50.0,40.0,60.0,40.0,40.0,50.0,40.0,40.0,30
20.0,50.0,40.0,50.0,40.0,60.0,40.0,40.0,50.0,40.0,40.0,30.0,30
50.0,40.0,50.0,40.0,60.0,40.0,40.0,50.0,40.0,40.0,30.0,30.0,30
40.0,50.0,40.0,60.0,40.0,40.0,50.0,40.0,40.0,30.0,30.0,30.0,40
50.0,40.0,60.0,40.0,40.0,50.0,40.0,40.0,30.0,30.0,30.0,40.0,80
40.0,60.0,40.0,40.0,50.0,40.0,40.0,30.0,30.0,30.0,40.0,80.0,70
60.0,40.0,40.0,50.0,40.0,40.0,30.0,30.0,30.0,40.0,80.0,70.0,80
40.0,40.0,50.0,40.0,40.0,30.0,30.0,30.0,40.0,80.0,70.0,80.0,70
40.0,50.0,40.0,40.0,30.0,30.0,30.0,40.0,80.0,70.0,80.0,70.0,80
50.0,40.0,40.0,30.0,30.0,30.0,40.0,80.0,70.0,80.0,70.0,80.0,80
40.0,40.0,30.0,30.0,30.0,40.0,80.0,70.0,80.0,70.0,80.0,80.0,100
40.0,30.0,30.0,30.0,40.0,80.0,70.0,80.0,70.0,80.0,80.0,100.0,90
30.0,30.0,30.0,40.0,80.0,70.0,80.0,70.0,80.0,80.0,100.0,90.0,100
30.0,30.0,40.0,80.0,70.0,80.0,70.0,80.0,80.0,100.0,90.0,100.0,90
30.0,40.0,80.0,70.0,80.0,70.0,80.0,80.0,100.0,90.0,100.0,90.0,110
40.0,80.0,70.0,80.0,70.0,80.0,80.0,100.0,90.0,100.0,90.0,110.0,90
80.0,70.0,80.0,70.0,80.0,80.0,100.0,90.0,100.0,90.0,110.0,90.0,100
