t-3,t-2,t-1,t
90.0,100.0,100.0,110
100.0,100.0,110.0,100
100.0,110.0,100.0,90
110.0,100.0,90.0,90
100.0,90.0,90.0,180
90.0,90.0,180.0,140
90.0,180.0,140.0,100
180.0,140.0,100.0,110
140.0,100.0,110.0,340
100.0,110.0,340.0,380
110.0,340.0,380.0,210
340.0,380.0,210.0,150
380.0,210.0,150.0,330
210.0,150.0,330.0,420
150.0,330.0,420.0,330
330.0,420.0,330.0,130
420.0,330.0,130.0,130
330.0,130.0,130.0,110
130.0,130.0,110.0,250
130.0,110.0,250.0,520
110.0,250.0,520.0,360
250.0,520.0,360.0,330
520.0,360.0,330.0,310
360.0,330.0,310.0,270
330.0,310.0,270.0,230
310.0,270.0,230.0,170
270.0,230.0,170.0,60
230.0,170.0,60.0,30
170.0,60.0,30.0,30
60.0,30.0,30.0,30
30.0,30.0,30.0,40
30.0,30.0,40.0,50
30.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,60
50.0,40.0,60.0,40
40.0,60.0,40.0,40
60.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,30
50.0,40.0,30.0,30
40.0,30.0,30.0,30
30.0,30.0,30.0,40
30.0,30.0,40.0,40
30.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,20
40.0,40.0,20.0,30
40.0,20.0,30.0,30
20.0,30.0,30.0,40
30.0,30.0,40.0,50
30.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,30
40.0,40.0,30.0,70
40.0,30.0,70.0,360
30.0,70.0,360.0,400
70.0,360.0,400.0,70
360.0,400.0,70.0,70
400.0,70.0,70.0,390
70.0,70.0,390.0,100
70.0,390.0,100.0,80
390.0,100.0,80.0,70
100.0,80.0,70.0,170
80.0,70.0,170.0,360
70.0,170.0,360.0,180
170.0,360.0,180.0,130
360.0,180.0,130.0,70
180.0,130.0,70.0,70
130.0,70.0,70.0,180
70.0,70.0,180.0,170
70.0,180.0,170.0,390
180.0,170.0,390.0,420
170.0,390.0,420.0,340
390.0,420.0,340.0,550
420.0,340.0,550.0,690
340.0,550.0,690.0,620
550.0,690.0,620.0,610
690.0,620.0,610.0,490
620.0,610.0,490.0,260
610.0,490.0,260.0,240
490.0,260.0,240.0,220
260.0,240.0,220.0,130
240.0,220.0,130.0,90
220.0,130.0,90.0,290
130.0,90.0,290.0,410
90.0,290.0,410.0,320
290.0,410.0,320.0,260
410.0,320.0,260.0,210
320.0,260.0,210.0,210
260.0,210.0,210.0,140
210.0,210.0,140.0,60
210.0,140.0,60.0,50
140.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,60
60.0,50.0,60.0,140
50.0,60.0,140.0,270
60.0,140.0,270.0,200
140.0,270.0,200.0,60
270.0,200.0,60.0,50
200.0,60.0,50.0,60
60.0,50.0,60.0,80
50.0,60.0,80.0,50
60.0,80.0,50.0,40
80.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,30
50.0,40.0,30.0,30
40.0,30.0,30.0,200
30.0,30.0,200.0,450
30.0,200.0,450.0,400
200.0,450.0,400.0,740
450.0,400.0,740.0,910
400.0,740.0,910.0,610
740.0,910.0,610.0,510
910.0,610.0,510.0,190
610.0,510.0,190.0,110
510.0,190.0,110.0,100
190.0,110.0,100.0,90
110.0,100.0,90.0,110
100.0,90.0,110.0,100
90.0,110.0,100.0,110
110.0,100.0,110.0,100
100.0,110.0,100.0,790
110.0,100.0,790.0,380
100.0,790.0,380.0,360
790.0,380.0,360.0,360
380.0,360.0,360.0,100
360.0,360.0,100.0,100
360.0,100.0,100.0,90
100.0,100.0,90.0,90
100.0,90.0,90.0,110
90.0,90.0,110.0,140
90.0,110.0,140.0,110
110.0,140.0,110.0,100
140.0,110.0,100.0,110
110.0,100.0,110.0,130
100.0,110.0,130.0,140
110.0,130.0,140.0,130
130.0,140.0,130.0,120
140.0,130.0,120.0,100
130.0,120.0,100.0,80
120.0,100.0,80.0,50
100.0,80.0,50.0,50
80.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,30
50.0,40.0,30.0,30
40.0,30.0,30.0,40
30.0,30.0,40.0,40
30.0,40.0,40.0,50
40.0,40.0,50.0,60
40.0,50.0,60.0,50
50.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,30
50.0,40.0,30.0,40
40.0,30.0,40.0,30
30.0,40.0,30.0,60
40.0,30.0,60.0,50
30.0,60.0,50.0,50
60.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,60
40.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,50
50.0,60.0,50.0,40
60.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,30
50.0,50.0,30.0,70
50.0,30.0,70.0,50
30.0,70.0,50.0,50
70.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,150
50.0,50.0,150.0,390
50.0,150.0,390.0,390
150.0,390.0,390.0,380
390.0,390.0,380.0,400
390.0,380.0,400.0,370
380.0,400.0,370.0,310
400.0,370.0,310.0,40
370.0,310.0,40.0,50
310.0,40.0,50.0,70
40.0,50.0,70.0,60
50.0,70.0,60.0,90
70.0,60.0,90.0,60
60.0,90.0,60.0,60
90.0,60.0,60.0,100
60.0,60.0,100.0,380
60.0,100.0,380.0,390
100.0,380.0,390.0,130
380.0,390.0,130.0,60
390.0,130.0,60.0,60
130.0,60.0,60.0,50
60.0,60.0,50.0,60
60.0,50.0,60.0,60
50.0,60.0,60.0,240
60.0,60.0,240.0,80
60.0,240.0,80.0,80
240.0,80.0,80.0,400
80.0,80.0,400.0,400
80.0,400.0,400.0,460
400.0,400.0,460.0,170
400.0,460.0,170.0,210
460.0,170.0,210.0,190
170.0,210.0,190.0,70
210.0,190.0,70.0,80
190.0,70.0,80.0,60
70.0,80.0,60.0,70
80.0,60.0,70.0,60
60.0,70.0,60.0,70
70.0,60.0,70.0,60
60.0,70.0,60.0,60
70.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,60
50.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,70
50.0,50.0,70.0,50
50.0,70.0,50.0,60
70.0,50.0,60.0,60
50.0,60.0,60.0,90
60.0,60.0,90.0,100
60.0,90.0,100.0,90
90.0,100.0,90.0,100
100.0,90.0,100.0,110
90.0,100.0,110.0,100
100.0,110.0,100.0,80
110.0,100.0,80.0,110
100.0,80.0,110.0,260
80.0,110.0,260.0,350
110.0,260.0,350.0,500
260.0,350.0,500.0,370
350.0,500.0,370.0,330
500.0,370.0,330.0,100
370.0,330.0,100.0,110
330.0,100.0,110.0,140
100.0,110.0,140.0,310
110.0,140.0,310.0,330
140.0,310.0,330.0,190
310.0,330.0,190.0,160
330.0,190.0,160.0,160
190.0,160.0,160.0,480
160.0,160.0,480.0,280
160.0,480.0,280.0,130
480.0,280.0,130.0,150
280.0,130.0,150.0,140
130.0,150.0,140.0,130
150.0,140.0,130.0,130
140.0,130.0,130.0,340
130.0,130.0,340.0,490
130.0,340.0,490.0,230
340.0,490.0,230.0,360
490.0,230.0,360.0,410
230.0,360.0,410.0,150
360.0,410.0,150.0,80
410.0,150.0,80.0,80
150.0,80.0,80.0,70
80.0,80.0,70.0,70
80.0,70.0,70.0,70
70.0,70.0,70.0,60
70.0,70.0,60.0,60
70.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,30
50.0,50.0,30.0,20
50.0,30.0,20.0,40
30.0,20.0,40.0,50
20.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,50
50.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,40
60.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,30
50.0,40.0,30.0,30
40.0,30.0,30.0,40
30.0,30.0,40.0,50
30.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,30
50.0,50.0,30.0,30
50.0,30.0,30.0,30
30.0,30.0,30.0,50
30.0,30.0,50.0,50
30.0,50.0,50.0,40
50.0,50.0,40.0,60
50.0,40.0,60.0,60
40.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,220
50.0,50.0,220.0,390
50.0,220.0,390.0,380
220.0,390.0,380.0,390
390.0,380.0,390.0,390
380.0,390.0,390.0,240
390.0,390.0,240.0,40
390.0,240.0,40.0,70
240.0,40.0,70.0,50
40.0,70.0,50.0,50
70.0,50.0,50.0,70
50.0,50.0,70.0,60
50.0,70.0,60.0,70
70.0,60.0,70.0,60
60.0,70.0,60.0,50
70.0,60.0,50.0,60
60.0,50.0,60.0,60
50.0,60.0,60.0,80
60.0,60.0,80.0,100
60.0,80.0,100.0,60
80.0,100.0,60.0,70
100.0,60.0,70.0,60
60.0,70.0,60.0,60
70.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,70
40.0,50.0,70.0,60
50.0,70.0,60.0,60
70.0,60.0,60.0,80
60.0,60.0,80.0,80
60.0,80.0,80.0,80
80.0,80.0,80.0,90
80.0,80.0,90.0,90
80.0,90.0,90.0,100
90.0,90.0,100.0,80
90.0,100.0,80.0,90
100.0,80.0,90.0,80
80.0,90.0,80.0,80
90.0,80.0,80.0,80
80.0,80.0,80.0,80
80.0,80.0,80.0,90
80.0,80.0,90.0,70
80.0,90.0,70.0,50
90.0,70.0,50.0,60
70.0,50.0,60.0,70
50.0,60.0,70.0,80
60.0,70.0,80.0,70
70.0,80.0,70.0,370
80.0,70.0,370.0,410
70.0,370.0,410.0,250
370.0,410.0,250.0,80
410.0,250.0,80.0,70
250.0,80.0,70.0,70
80.0,70.0,70.0,80
70.0,70.0,80.0,70
70.0,80.0,70.0,80
80.0,70.0,80.0,80
70.0,80.0,80.0,150
80.0,80.0,150.0,380
80.0,150.0,380.0,290
150.0,380.0,290.0,270
380.0,290.0,270.0,420
290.0,270.0,420.0,280
270.0,420.0,280.0,300
420.0,280.0,300.0,350
280.0,300.0,350.0,270
300.0,350.0,270.0,560
350.0,270.0,560.0,1080
270.0,560.0,1080.0,750
560.0,1080.0,750.0,390
1080.0,750.0,390.0,350
750.0,390.0,350.0,340
390.0,350.0,340.0,290
350.0,340.0,290.0,230
340.0,290.0,230.0,120
290.0,230.0,120.0,110
230.0,120.0,110.0,100
120.0,110.0,100.0,110
110.0,100.0,110.0,130
100.0,110.0,130.0,140
110.0,130.0,140.0,110
130.0,140.0,110.0,100
140.0,110.0,100.0,100
110.0,100.0,100.0,110
100.0,100.0,110.0,110
100.0,110.0,110.0,190
110.0,110.0,190.0,450
110.0,190.0,450.0,210
190.0,450.0,210.0,100
450.0,210.0,100.0,90
210.0,100.0,90.0,90
100.0,90.0,90.0,80
90.0,90.0,80.0,70
90.0,80.0,70.0,70
80.0,70.0,70.0,70
70.0,70.0,70.0,60
70.0,70.0,60.0,30
70.0,60.0,30.0,30
60.0,30.0,30.0,30
30.0,30.0,30.0,40
30.0,30.0,40.0,50
30.0,40.0,50.0,60
40.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,50
50.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,40
60.0,50.0,40.0,30
50.0,40.0,30.0,30
40.0,30.0,30.0,30
30.0,30.0,30.0,60
30.0,30.0,60.0,50
30.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,60
50.0,40.0,60.0,50
40.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,30
50.0,50.0,30.0,40
50.0,30.0,40.0,30
30.0,40.0,30.0,50
40.0,30.0,50.0,50
30.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,170
50.0,50.0,170.0,400
50.0,170.0,400.0,390
170.0,400.0,390.0,370
400.0,390.0,370.0,390
390.0,370.0,390.0,370
370.0,390.0,370.0,380
390.0,370.0,380.0,100
370.0,380.0,100.0,90
380.0,100.0,90.0,470
100.0,90.0,470.0,320
90.0,470.0,320.0,270
470.0,320.0,270.0,260
320.0,270.0,260.0,230
270.0,260.0,230.0,470
260.0,230.0,470.0,400
230.0,470.0,400.0,290
470.0,400.0,290.0,100
400.0,290.0,100.0,90
290.0,100.0,90.0,90
100.0,90.0,90.0,90
90.0,90.0,90.0,90
90.0,90.0,90.0,100
90.0,90.0,100.0,80
90.0,100.0,80.0,180
100.0,80.0,180.0,440
80.0,180.0,440.0,300
180.0,440.0,300.0,250
440.0,300.0,250.0,280
300.0,250.0,280.0,460
250.0,280.0,460.0,120
280.0,460.0,120.0,120
460.0,120.0,120.0,110
120.0,120.0,110.0,130
120.0,110.0,130.0,110
110.0,130.0,110.0,120
130.0,110.0,120.0,120
110.0,120.0,120.0,120
120.0,120.0,120.0,130
120.0,120.0,130.0,120
120.0,130.0,120.0,120
130.0,120.0,120.0,410
120.0,120.0,410.0,420
120.0,410.0,420.0,140
410.0,420.0,140.0,60
420.0,140.0,60.0,60
140.0,60.0,60.0,70
60.0,60.0,70.0,80
60.0,70.0,80.0,100
70.0,80.0,100.0,80
80.0,100.0,80.0,80
100.0,80.0,80.0,70
80.0,80.0,70.0,80
80.0,70.0,80.0,80
70.0,80.0,80.0,90
80.0,80.0,90.0,80
80.0,90.0,80.0,80
90.0,80.0,80.0,80
80.0,80.0,80.0,80
80.0,80.0,80.0,80
80.0,80.0,80.0,90
80.0,80.0,90.0,130
80.0,90.0,130.0,380
90.0,130.0,380.0,800
130.0,380.0,800.0,790
380.0,800.0,790.0,540
800.0,790.0,540.0,120
790.0,540.0,120.0,110
540.0,120.0,110.0,160
120.0,110.0,160.0,140
110.0,160.0,140.0,550
160.0,140.0,550.0,530
140.0,550.0,530.0,100
550.0,530.0,100.0,100
530.0,100.0,100.0,90
100.0,100.0,90.0,90
100.0,90.0,90.0,100
90.0,90.0,100.0,130
90.0,100.0,130.0,110
100.0,130.0,110.0,120
130.0,110.0,120.0,100
110.0,120.0,100.0,110
120.0,100.0,110.0,100
100.0,110.0,100.0,120
110.0,100.0,120.0,250
100.0,120.0,250.0,110
120.0,250.0,110.0,110
250.0,110.0,110.0,150
110.0,110.0,150.0,110
110.0,150.0,110.0,50
150.0,110.0,50.0,40
110.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,70
50.0,50.0,70.0,60
50.0,70.0,60.0,60
70.0,60.0,60.0,70
60.0,60.0,70.0,50
60.0,70.0,50.0,70
70.0,50.0,70.0,60
50.0,70.0,60.0,70
70.0,60.0,70.0,60
60.0,70.0,60.0,60
70.0,60.0,60.0,50
60.0,60.0,50.0,40
60.0,50.0,40.0,30
50.0,40.0,30.0,40
40.0,30.0,40.0,50
30.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,60
40.0,40.0,60.0,50
40.0,60.0,50.0,50
60.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,20
40.0,40.0,20.0,30
40.0,20.0,30.0,20
20.0,30.0,20.0,50
30.0,20.0,50.0,60
20.0,50.0,60.0,40
50.0,60.0,40.0,50
60.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,30
40.0,50.0,30.0,20
50.0,30.0,20.0,30
30.0,20.0,30.0,30
20.0,30.0,30.0,50
30.0,30.0,50.0,80
30.0,50.0,80.0,40
50.0,80.0,40.0,50
80.0,40.0,50.0,40
40.0,50.0,40.0,70
50.0,40.0,70.0,100
40.0,70.0,100.0,60
70.0,100.0,60.0,50
100.0,60.0,50.0,40
60.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,20
40.0,40.0,20.0,20
40.0,20.0,20.0,30
20.0,20.0,30.0,50
20.0,30.0,50.0,50
30.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,20
40.0,40.0,20.0,20
40.0,20.0,20.0,30
20.0,20.0,30.0,40
20.0,30.0,40.0,50
30.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,20
50.0,40.0,20.0,20
40.0,20.0,20.0,30
20.0,20.0,30.0,40
20.0,30.0,40.0,50
30.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,30
50.0,50.0,30.0,20
50.0,30.0,20.0,30
30.0,20.0,30.0,30
20.0,30.0,30.0,40
30.0,30.0,40.0,50
30.0,40.0,50.0,50
