t-6,t-5,t-4,t-3,t-2,t-1,t
50.0,50.0,40.0,40.0,30.0,20.0,20
50.0,40.0,40.0,30.0,20.0,20.0,40
40.0,40.0,30.0,20.0,20.0,40.0,50
40.0,30.0,20.0,20.0,40.0,50.0,50
30.0,20.0,20.0,40.0,50.0,50.0,40
20.0,20.0,40.0,50.0,50.0,40.0,50
20.0,40.0,50.0,50.0,40.0,50.0,40
40.0,50.0,50.0,40.0,50.0,40.0,40
50.0,50.0,40.0,50.0,40.0,40.0,40
50.0,40.0,50.0,40.0,40.0,40.0,60
40.0,50.0,40.0,40.0,40.0,60.0,50
50.0,40.0,40.0,40.0,60.0,50.0,50
40.0,40.0,40.0,60.0,50.0,50.0,40
40.0,40.0,60.0,50.0,50.0,40.0,40
40.0,60.0,50.0,50.0,40.0,40.0,40
60.0,50.0,50.0,40.0,40.0,40.0,40
50.0,50.0,40.0,40.0,40.0,40.0,50
50.0,40.0,40.0,40.0,40.0,50.0,70
40.0,40.0,40.0,40.0,50.0,70.0,40
40.0,40.0,40.0,50.0,70.0,40.0,30
40.0,40.0,50.0,70.0,40.0,30.0,20
40.0,50.0,70.0,40.0,30.0,20.0,30
50.0,70.0,40.0,30.0,20.0,30.0,40
70.0,40.0,30.0,20.0,30.0,40.0,50
40.0,30.0,20.0,30.0,40.0,50.0,60
30.0,20.0,30.0,40.0,50.0,60.0,60
20.0,30.0,40.0,50.0,60.0,60.0,70
30.0,40.0,50.0,60.0,60.0,70.0,60
40.0,50.0,60.0,60.0,70.0,60.0,140
50.0,60.0,60.0,70.0,60.0,140.0,110
60.0,60.0,70.0,60.0,140.0,110.0,90
60.0,70.0,60.0,140.0,110.0,90.0,60
70.0,60.0,140.0,110.0,90.0,60.0,60
60.0,140.0,110.0,90.0,60.0,60.0,60
140.0,110.0,90.0,60.0,60.0,60.0,50
110.0,90.0,60.0,60.0,60.0,50.0,60
90.0,60.0,60.0,60.0,50.0,60.0,50
60.0,60.0,60.0,50.0,60.0,50.0,30
60.0,60.0,50.0,60.0,50.0,30.0,40
60.0,50.0,60.0,50.0,30.0,40.0,30
50.0,60.0,50.0,30.0,40.0,30.0,260
60.0,50.0,30.0,40.0,30.0,260.0,500
50.0,30.0,40.0,30.0,260.0,500.0,450
30.0,40.0,30.0,260.0,500.0,450.0,50
40.0,30.0,260.0,500.0,450.0,50.0,60
30.0,260.0,500.0,450.0,50.0,60.0,60
260.0,500.0,450.0,50.0,60.0,60.0,50
500.0,450.0,50.0,60.0,60.0,50.0,50
450.0,50.0,60.0,60.0,50.0,50.0,50
50.0,60.0,60.0,50.0,50.0,50.0,60
60.0,60.0,50.0,50.0,50.0,60.0,60
60.0,50.0,50.0,50.0,60.0,60.0,60
50.0,50.0,50.0,60.0,60.0,60.0,60
50.0,50.0,60.0,60.0,60.0,60.0,190
50.0,60.0,60.0,60.0,60.0,190.0,220
60.0,60.0,60.0,60.0,190.0,220.0,170
60.0,60.0,60.0,190.0,220.0,170.0,390
60.0,60.0,190.0,220.0,170.0,390.0,90
60.0,190.0,220.0,170.0,390.0,90.0,60
190.0,220.0,170.0,390.0,90.0,60.0,290
220.0,170.0,390.0,90.0,60.0,290.0,130
170.0,390.0,90.0,60.0,290.0,130.0,140
390.0,90.0,60.0,290.0,130.0,140.0,240
90.0,60.0,290.0,130.0,140.0,240.0,50
60.0,290.0,130.0,140.0,240.0,50.0,60
290.0,130.0,140.0,240.0,50.0,60.0,60
130.0,140.0,240.0,50.0,60.0,60.0,60
140.0,240.0,50.0,60.0,60.0,60.0,370
240.0,50.0,60.0,60.0,60.0,370.0,200
50.0,60.0,60.0,60.0,370.0,200.0,70
60.0,60.0,60.0,370.0,200.0,70.0,50
60.0,60.0,370.0,200.0,70.0,50.0,40
60.0,370.0,200.0,70.0,50.0,40.0,40
370.0,200.0,70.0,50.0,40.0,40.0,30
200.0,70.0,50.0,40.0,40.0,30.0,30
70.0,50.0,40.0,40.0,30.0,30.0,30
50.0,40.0,40.0,30.0,30.0,30.0,30
40.0,40.0,30.0,30.0,30.0,30.0,40
40.0,30.0,30.0,30.0,30.0,40.0,50
30.0,30.0,30.0,30.0,40.0,50.0,40
30.0,30.0,30.0,40.0,50.0,40.0,40
30.0,30.0,40.0,50.0,40.0,40.0,40
30.0,40.0,50.0,40.0,40.0,40.0,60
40.0,50.0,40.0,40.0,40.0,60.0,60
50.0,40.0,40.0,40.0,60.0,60.0,210
40.0,40.0,40.0,60.0,60.0,210.0,380
40.0,40.0,60.0,60.0,210.0,380.0,370
40.0,60.0,60.0,210.0,380.0,370.0,230
60.0,60.0,210.0,380.0,370.0,230.0,80
60.0,210.0,380.0,370.0,230.0,80.0,90
210.0,380.0,370.0,230.0,80.0,90.0,70
380.0,370.0,230.0,80.0,90.0,70.0,40
370.0,230.0,80.0,90.0,70.0,40.0,40
230.0,80.0,90.0,70.0,40.0,40.0,30
80.0,90.0,70.0,40.0,40.0,30.0,50
90.0,70.0,40.0,40.0,30.0,50.0,50
70.0,40.0,40.0,30.0,50.0,50.0,60
40.0,40.0,30.0,50.0,50.0,60.0,50
40.0,30.0,50.0,50.0,60.0,50.0,60
30.0,50.0,50.0,60.0,50.0,60.0,60
50.0,50.0,60.0,50.0,60.0,60.0,60
50.0,60.0,50.0,60.0,60.0,60.0,50
60.0,50.0,60.0,60.0,60.0,50.0,50
50.0,60.0,60.0,60.0,50.0,50.0,50
60.0,60.0,60.0,50.0,50.0,50.0,50
60.0,60.0,50.0,50.0,50.0,50.0,50
60.0,50.0,50.0,50.0,50.0,50.0,60
50.0,50.0,50.0,50.0,50.0,60.0,60
50.0,50.0,50.0,50.0,60.0,60.0,40
50.0,50.0,50.0,60.0,60.0,40.0,30
50.0,50.0,60.0,60.0,40.0,30.0,30
50.0,60.0,60.0,40.0,30.0,30.0,30
60.0,60.0,40.0,30.0,30.0,30.0,40
60.0,40.0,30.0,30.0,30.0,40.0,50
40.0,30.0,30.0,30.0,40.0,50.0,50
30.0,30.0,30.0,40.0,50.0,50.0,50
30.0,30.0,40.0,50.0,50.0,50.0,40
30.0,40.0,50.0,50.0,50.0,40.0,50
40.0,50.0,50.0,50.0,40.0,50.0,40
50.0,50.0,50.0,40.0,50.0,40.0,40
50.0,50.0,40.0,50.0,40.0,40.0,40
50.0,40.0,50.0,40.0,40.0,40.0,40
40.0,50.0,40.0,40.0,40.0,40.0,50
50.0,40.0,40.0,40.0,40.0,50.0,50
40.0,40.0,40.0,40.0,50.0,50.0,50
40.0,40.0,40.0,50.0,50.0,50.0,30
40.0,40.0,50.0,50.0,50.0,30.0,20
40.0,50.0,50.0,50.0,30.0,20.0,30
50.0,50.0,50.0,30.0,20.0,30.0,20
50.0,50.0,30.0,20.0,30.0,20.0,40
50.0,30.0,20.0,30.0,20.0,40.0,50
30.0,20.0,30.0,20.0,40.0,50.0,60
20.0,30.0,20.0,40.0,50.0,60.0,50
30.0,20.0,40.0,50.0,60.0,50.0,40
20.0,40.0,50.0,60.0,50.0,40.0,40
40.0,50.0,60.0,50.0,40.0,40.0,50
50.0,60.0,50.0,40.0,40.0,50.0,40
60.0,50.0,40.0,40.0,50.0,40.0,40
50.0,40.0,40.0,50.0,40.0,40.0,50
40.0,40.0,50.0,40.0,40.0,50.0,50
40.0,50.0,40.0,40.0,50.0,50.0,50
50.0,40.0,40.0,50.0,50.0,50.0,40
40.0,40.0,50.0,50.0,50.0,40.0,30
40.0,50.0,50.0,50.0,40.0,30.0,20
50.0,50.0,50.0,40.0,30.0,20.0,20
50.0,50.0,40.0,30.0,20.0,20.0,20
50.0,40.0,30.0,20.0,20.0,20.0,50
40.0,30.0,20.0,20.0,20.0,50.0,50
30.0,20.0,20.0,20.0,50.0,50.0,50
20.0,20.0,20.0,50.0,50.0,50.0,40
20.0,20.0,50.0,50.0,50.0,40.0,40
20.0,50.0,50.0,50.0,40.0,40.0,50
50.0,50.0,50.0,40.0,40.0,50.0,40
50.0,50.0,40.0,40.0,50.0,40.0,50
50.0,40.0,40.0,50.0,40.0,50.0,50
40.0,40.0,50.0,40.0,50.0,50.0,50
40.0,50.0,40.0,50.0,50.0,50.0,40
50.0,40.0,50.0,50.0,50.0,40.0,40
40.0,50.0,50.0,50.0,40.0,40.0,50
50.0,50.0,50.0,40.0,40.0,50.0,20
50.0,50.0,40.0,40.0,50.0,20.0,20
50.0,40.0,40.0,50.0,20.0,20.0,50
40.0,40.0,50.0,20.0,20.0,50.0,30
40.0,50.0,20.0,20.0,50.0,30.0,50
50.0,20.0,20.0,50.0,30.0,50.0,50
20.0,20.0,50.0,30.0,50.0,50.0,200
20.0,50.0,30.0,50.0,50.0,200.0,110
50.0,30.0,50.0,50.0,200.0,110.0,80
30.0,50.0,50.0,200.0,110.0,80.0,50
50.0,50.0,200.0,110.0,80.0,50.0,50
50.0,200.0,110.0,80.0,50.0,50.0,50
200.0,110.0,80.0,50.0,50.0,50.0,40
110.0,80.0,50.0,50.0,50.0,40.0,40
80.0,50.0,50.0,50.0,40.0,40.0,30
50.0,50.0,50.0,40.0,40.0,30.0,180
50.0,50.0,40.0,40.0,30.0,180.0,350
50.0,40.0,40.0,30.0,180.0,350.0,350
40.0,40.0,30.0,180.0,350.0,350.0,300
40.0,30.0,180.0,350.0,350.0,300.0,400
30.0,180.0,350.0,350.0,300.0,400.0,390
180.0,350.0,350.0,300.0,400.0,390.0,290
350.0,350.0,300.0,400.0,390.0,290.0,60
350.0,300.0,400.0,390.0,290.0,60.0,70
300.0,400.0,390.0,290.0,60.0,70.0,110
400.0,390.0,290.0,60.0,70.0,110.0,90
390.0,290.0,60.0,70.0,110.0,90.0,60
290.0,60.0,70.0,110.0,90.0,60.0,70
60.0,70.0,110.0,90.0,60.0,70.0,80
70.0,110.0,90.0,60.0,70.0,80.0,60
110.0,90.0,60.0,70.0,80.0,60.0,40
90.0,60.0,70.0,80.0,60.0,40.0,30
60.0,70.0,80.0,60.0,40.0,30.0,70
70.0,80.0,60.0,40.0,30.0,70.0,50
80.0,60.0,40.0,30.0,70.0,50.0,80
60.0,40.0,30.0,70.0,50.0,80.0,80
40.0,30.0,70.0,50.0,80.0,80.0,50
30.0,70.0,50.0,80.0,80.0,50.0,40
70.0,50.0,80.0,80.0,50.0,40.0,50
50.0,80.0,80.0,50.0,40.0,50.0,40
80.0,80.0,50.0,40.0,50.0,40.0,40
80.0,50.0,40.0,50.0,40.0,40.0,50
50.0,40.0,50.0,40.0,40.0,50.0,30
40.0,50.0,40.0,40.0,50.0,30.0,30
50.0,40.0,40.0,50.0,30.0,30.0,20
40.0,40.0,50.0,30.0,30.0,20.0,20
40.0,50.0,30.0,30.0,20.0,20.0,50
50.0,30.0,30.0,20.0,20.0,50.0,40
30.0,30.0,20.0,20.0,50.0,40.0,50
30.0,20.0,20.0,50.0,40.0,50.0,40
20.0,20.0,50.0,40.0,50.0,40.0,60
20.0,50.0,40.0,50.0,40.0,60.0,40
50.0,40.0,50.0,40.0,60.0,40.0,40
40.0,50.0,40.0,60.0,40.0,40.0,50
50.0,40.0,60.0,40.0,40.0,50.0,40
40.0,60.0,40.0,40.0,50.0,40.0,40
60.0,40.0,40.0,50.0,40.0,40.0,30
40.0,40.0,50.0,40.0,40.0,30.0,30
40.0,50.0,40.0,40.0,30.0,30.0,30
50.0,40.0,40.0,30.0,30.0,30.0,40
40.0,40.0,30.0,30.0,30.0,40.0,80
40.0,30.0,30.0,30.0,40.0,80.0,70
30.0,30.0,30.0,40.0,80.0,70.0,80
30.0,30.0,40.0,80.0,70.0,80.0,70
30.0,40.0,80.0,70.0,80.0,70.0,80
40.0,80.0,70.0,80.0,70.0,80.0,80
80.0,70.0,80.0,70.0,80.0,80.0,100
70.0,80.0,70.0,80.0,80.0,100.0,90
80.0,70.0,80.0,80.0,100.0,90.0,100
70.0,80.0,80.0,100.0,90.0,100.0,90
80.0,80.0,100.0,90.0,100.0,90.0,110
80.0,100.0,90.0,100.0,90.0,110.0,90
100.0,90.0,100.0,90.0,110.0,90.0,100
90.0,100.0,90.0,110.0,90.0,100.0,100
100.0,90.0,110.0,90.0,100.0,100.0,110
90.0,110.0,90.0,100.0,100.0,110.0,100
110.0,90.0,100.0,100.0,110.0,100.0,90
90.0,100.0,100.0,110.0,100.0,90.0,90
100.0,100.0,110.0,100.0,90.0,90.0,180
100.0,110.0,100.0,90.0,90.0,180.0,140
110.0,100.0,90.0,90.0,180.0,140.0,100
100.0,90.0,90.0,180.0,140.0,100.0,110
90.0,90.0,180.0,140.0,100.0,110.0,340
90.0,180.0,140.0,100.0,110.0,340.0,380
180.0,140.0,100.0,110.0,340.0,380.0,210
140.0,100.0,110.0,340.0,380.0,210.0,150
100.0,110.0,340.0,380.0,210.0,150.0,330
110.0,340.0,380.0,210.0,150.0,330.0,420
340.0,380.0,210.0,150.0,330.0,420.0,330
380.0,210.0,150.0,330.0,420.0,330.0,130
210.0,150.0,330.0,420.0,330.0,130.0,130
150.0,330.0,420.0,330.0,130.0,130.0,110
330.0,420.0,330.0,130.0,130.0,110.0,250
420.0,330.0,130.0,130.0,110.0,250.0,520
330.0,130.0,130.0,110.0,250.0,520.0,360
130.0,130.0,110.0,250.0,520.0,360.0,330
130.0,110.0,250.0,520.0,360.0,330.0,310
110.0,250.0,520.0,360.0,330.0,310.0,270
250.0,520.0,360.0,330.0,310.0,270.0,230
520.0,360.0,330.0,310.0,270.0,230.0,170
360.0,330.0,310.0,270.0,230.0,170.0,60
330.0,310.0,270.0,230.0,170.0,60.0,30
310.0,270.0,230.0,170.0,60.0,30.0,30
270.0,230.0,170.0,60.0,30.0,30.0,30
230.0,170.0,60.0,30.0,30.0,30.0,40
170.0,60.0,30.0,30.0,30.0,40.0,50
60.0,30.0,30.0,30.0,40.0,50.0,50
30.0,30.0,30.0,40.0,50.0,50.0,40
30.0,30.0,40.0,50.0,50.0,40.0,40
30.0,40.0,50.0,50.0,40.0,40.0,50
40.0,50.0,50.0,40.0,40.0,50.0,50
50.0,50.0,40.0,40.0,50.0,50.0,40
50.0,40.0,40.0,50.0,50.0,40.0,60
40.0,40.0,50.0,50.0,40.0,60.0,40
40.0,50.0,50.0,40.0,60.0,40.0,40
50.0,50.0,40.0,60.0,40.0,40.0,50
50.0,40.0,60.0,40.0,40.0,50.0,40
40.0,60.0,40.0,40.0,50.0,40.0,30
60.0,40.0,40.0,50.0,40.0,30.0,30
40.0,40.0,50.0,40.0,30.0,30.0,30
40.0,50.0,40.0,30.0,30.0,30.0,40
50.0,40.0,30.0,30.0,30.0,40.0,40
40.0,30.0,30.0,30.0,40.0,40.0,50
30.0,30.0,30.0,40.0,40.0,50.0,40
30.0,30.0,40.0,40.0,50.0,40.0,40
30.0,40.0,40.0,50.0,40.0,40.0,40
40.0,40.0,50.0,40.0,40.0,40.0,50
40.0,50.0,40.0,40.0,40.0,50.0,50
50.0,40.0,40.0,40.0,50.0,50.0,50
40.0,40.0,40.0,50.0,50.0,50.0,40
40.0,40.0,50.0,50.0,50.0,40.0,50
40.0,50.0,50.0,50.0,40.0,50.0,40
50.0,50.0,50.0,40.0,50.0,40.0,40
50.0,50.0,40.0,50.0,40.0,40.0,20
50.0,40.0,50.0,40.0,40.0,20.0,30
40.0,50.0,40.0,40.0,20.0,30.0,30
50.0,40.0,40.0,20.0,30.0,30.0,40
40.0,40.0,20.0,30.0,30.0,40.0,50
40.0,20.0,30.0,30.0,40.0,50.0,40
20.0,30.0,30.0,40.0,50.0,40.0,40
30.0,30.0,40.0,50.0,40.0,40.0,50
30.0,40.0,50.0,40.0,40.0,50.0,40
40.0,50.0,40.0,40.0,50.0,40.0,50
50.0,40.0,40.0,50.0,40.0,50.0,50
40.0,40.0,50.0,40.0,50.0,50.0,40
40.0,50.0,40.0,50.0,50.0,40.0,50
50.0,40.0,50.0,50.0,40.0,50.0,40
40.0,50.0,50.0,40.0,50.0,40.0,40
50.0,50.0,40.0,50.0,40.0,40.0,40
50.0,40.0,50.0,40.0,40.0,40.0,40
40.0,50.0,40.0,40.0,40.0,40.0,30
50.0,40.0,40.0,40.0,40.0,30.0,70
40.0,40.0,40.0,40.0,30.0,70.0,360
40.0,40.0,40.0,30.0,70.0,360.0,400
40.0,40.0,30.0,70.0,360.0,400.0,70
40.0,30.0,70.0,360.0,400.0,70.0,70
30.0,70.0,360.0,400.0,70.0,70.0,390
70.0,360.0,400.0,70.0,70.0,390.0,100
360.0,400.0,70.0,70.0,390.0,100.0,80
400.0,70.0,70.0,390.0,100.0,80.0,70
70.0,70.0,390.0,100.0,80.0,70.0,170
70.0,390.0,100.0,80.0,70.0,170.0,360
390.0,100.0,80.0,70.0,170.0,360.0,180
100.0,80.0,70.0,170.0,360.0,180.0,130
80.0,70.0,170.0,360.0,180.0,130.0,70
70.0,170.0,360.0,180.0,130.0,70.0,70
170.0,360.0,180.0,130.0,70.0,70.0,180
360.0,180.0,130.0,70.0,70.0,180.0,170
180.0,130.0,70.0,70.0,180.0,170.0,390
130.0,70.0,70.0,180.0,170.0,390.0,420
70.0,70.0,180.0,170.0,390.0,420.0,340
70.0,180.0,170.0,390.0,420.0,340.0,550
180.0,170.0,390.0,420.0,340.0,550.0,690
170.0,390.0,420.0,340.0,550.0,690.0,620
390.0,420.0,340.0,550.0,690.0,620.0,610
420.0,340.0,550.0,690.0,620.0,610.0,490
340.0,550.0,690.0,620.0,610.0,490.0,260
550.0,690.0,620.0,610.0,490.0,260.0,240
690.0,620.0,610.0,490.0,260.0,240.0,220
620.0,610.0,490.0,260.0,240.0,220.0,130
610.0,490.0,260.0,240.0,220.0,130.0,90
490.0,260.0,240.0,220.0,130.0,90.0,290
260.0,240.0,220.0,130.0,90.0,290.0,410
240.0,220.0,130.0,90.0,290.0,410.0,320
220.0,130.0,90.0,290.0,410.0,320.0,260
130.0,90.0,290.0,410.0,320.0,260.0,210
90.0,290.0,410.0,320.0,260.0,210.0,210
290.0,410.0,320.0,260.0,210.0,210.0,140
410.0,320.0,260.0,210.0,210.0,140.0,60
320.0,260.0,210.0,210.0,140.0,60.0,50
260.0,210.0,210.0,140.0,60.0,50.0,60
210.0,210.0,140.0,60.0,50.0,60.0,50
210.0,140.0,60.0,50.0,60.0,50.0,60
140.0,60.0,50.0,60.0,50.0,60.0,140
60.0,50.0,60.0,50.0,60.0,140.0,270
50.0,60.0,50.0,60.0,140.0,270.0,200
60.0,50.0,60.0,140.0,270.0,200.0,60
50.0,60.0,140.0,270.0,200.0,60.0,50
60.0,140.0,270.0,200.0,60.0,50.0,60
140.0,270.0,200.0,60.0,50.0,60.0,80
270.0,200.0,60.0,50.0,60.0,80.0,50
200.0,60.0,50.0,60.0,80.0,50.0,40
60.0,50.0,60.0,80.0,50.0,40.0,50
50.0,60.0,80.0,50.0,40.0,50.0,50
60.0,80.0,50.0,40.0,50.0,50.0,40
80.0,50.0,40.0,50.0,50.0,40.0,30
50.0,40.0,50.0,50.0,40.0,30.0,30
40.0,50.0,50.0,40.0,30.0,30.0,200
50.0,50.0,40.0,30.0,30.0,200.0,450
50.0,40.0,30.0,30.0,200.0,450.0,400
40.0,30.0,30.0,200.0,450.0,400.0,740
30.0,30.0,200.0,450.0,400.0,740.0,910
30.0,200.0,450.0,400.0,740.0,910.0,610
200.0,450.0,400.0,740.0,910.0,610.0,510
450.0,400.0,740.0,910.0,610.0,510.0,190
400.0,740.0,910.0,610.0,510.0,190.0,110
740.0,910.0,610.0,510.0,190.0,110.0,100
910.0,610.0,510.0,190.0,110.0,100.0,90
610.0,510.0,190.0,110.0,100.0,90.0,110
510.0,190.0,110.0,100.0,90.0,110.0,100
190.0,110.0,100.0,90.0,110.0,100.0,110
110.0,100.0,90.0,110.0,100.0,110.0,100
100.0,90.0,110.0,100.0,110.0,100.0,790
90.0,110.0,100.0,110.0,100.0,790.0,380
110.0,100.0,110.0,100.0,790.0,380.0,360
100.0,110.0,100.0,790.0,380.0,360.0,360
110.0,100.0,790.0,380.0,360.0,360.0,100
100.0,790.0,380.0,360.0,360.0,100.0,100
790.0,380.0,360.0,360.0,100.0,100.0,90
380.0,360.0,360.0,100.0,100.0,90.0,90
360.0,360.0,100.0,100.0,90.0,90.0,110
360.0,100.0,100.0,90.0,90.0,110.0,140
100.0,100.0,90.0,90.0,110.0,140.0,110
100.0,90.0,90.0,110.0,140.0,110.0,100
90.0,90.0,110.0,140.0,110.0,100.0,110
90.0,110.0,140.0,110.0,100.0,110.0,130
110.0,140.0,110.0,100.0,110.0,130.0,140
140.0,110.0,100.0,110.0,130.0,140.0,130
110.0,100.0,110.0,130.0,140.0,130.0,120
100.0,110.0,130.0,140.0,130.0,120.0,100
110.0,130.0,140.0,130.0,120.0,100.0,80
130.0,140.0,130.0,120.0,100.0,80.0,50
140.0,130.0,120.0,100.0,80.0,50.0,50
130.0,120.0,100.0,80.0,50.0,50.0,50
120.0,100.0,80.0,50.0,50.0,50.0,40
100.0,80.0,50.0,50.0,50.0,40.0,50
80.0,50.0,50.0,50.0,40.0,50.0,50
50.0,50.0,50.0,40.0,50.0,50.0,50
50.0,50.0,40.0,50.0,50.0,50.0,40
50.0,40.0,50.0,50.0,50.0,40.0,30
40.0,50.0,50.0,50.0,40.0,30.0,30
50.0,50.0,50.0,40.0,30.0,30.0,40
50.0,50.0,40.0,30.0,30.0,40.0,40
50.0,40.0,30.0,30.0,40.0,40.0,50
40.0,30.0,30.0,40.0,40.0,50.0,60
30.0,30.0,40.0,40.0,50.0,60.0,50
30.0,40.0,40.0,50.0,60.0,50.0,60
40.0,40.0,50.0,60.0,50.0,60.0,50
40.0,50.0,60.0,50.0,60.0,50.0,50
50.0,60.0,50.0,60.0,50.0,50.0,50
60.0,50.0,60.0,50.0,50.0,50.0,50
50.0,60.0,50.0,50.0,50.0,50.0,50
60.0,50.0,50.0,50.0,50.0,50.0,50
50.0,50.0,50.0,50.0,50.0,50.0,60
50.0,50.0,50.0,50.0,50.0,60.0,50
50.0,50.0,50.0,50.0,60.0,50.0,50
50.0,50.0,50.0,60.0,50.0,50.0,50
50.0,50.0,60.0,50.0,50.0,50.0,50
50.0,60.0,50.0,50.0,50.0,50.0,40
60.0,50.0,50.0,50.0,50.0,40.0,50
50.0,50.0,50.0,50.0,40.0,50.0,40
50.0,50.0,50.0,40.0,50.0,40.0,30
50.0,50.0,40.0,50.0,40.0,30.0,40
50.0,40.0,50.0,40.0,30.0,40.0,30
40.0,50.0,40.0,30.0,40.0,30.0,60
50.0,40.0,30.0,40.0,30.0,60.0,50
40.0,30.0,40.0,30.0,60.0,50.0,50
30.0,40.0,30.0,60.0,50.0,50.0,40
40.0,30.0,60.0,50.0,50.0,40.0,50
30.0,60.0,50.0,50.0,40.0,50.0,60
60.0,50.0,50.0,40.0,50.0,60.0,50
50.0,50.0,40.0,50.0,60.0,50.0,50
50.0,40.0,50.0,60.0,50.0,50.0,50
40.0,50.0,60.0,50.0,50.0,50.0,50
50.0,60.0,50.0,50.0,50.0,50.0,40
60.0,50.0,50.0,50.0,50.0,40.0,50
50.0,50.0,50.0,50.0,40.0,50.0,50
50.0,50.0,50.0,40.0,50.0,50.0,50
50.0,50.0,40.0,50.0,50.0,50.0,60
50.0,40.0,50.0,50.0,50.0,60.0,50
40.0,50.0,50.0,50.0,60.0,50.0,40
50.0,50.0,50.0,60.0,50.0,40.0,50
50.0,50.0,60.0,50.0,40.0,50.0,50
50.0,60.0,50.0,40.0,50.0,50.0,50
60.0,50.0,40.0,50.0,50.0,50.0,30
50.0,40.0,50.0,50.0,50.0,30.0,70
40.0,50.0,50.0,50.0,30.0,70.0,50
50.0,50.0,50.0,30.0,70.0,50.0,50
50.0,50.0,30.0,70.0,50.0,50.0,50
50.0,30.0,70.0,50.0,50.0,50.0,50
30.0,70.0,50.0,50.0,50.0,50.0,40
70.0,50.0,50.0,50.0,50.0,40.0,50
50.0,50.0,50.0,50.0,40.0,50.0,50
50.0,50.0,50.0,40.0,50.0,50.0,150
50.0,50.0,40.0,50.0,50.0,150.0,390
50.0,40.0,50.0,50.0,150.0,390.0,390
40.0,50.0,50.0,150.0,390.0,390.0,380
50.0,50.0,150.0,390.0,390.0,380.0,400
50.0,150.0,390.0,390.0,380.0,400.0,370
150.0,390.0,390.0,380.0,400.0,370.0,310
390.0,390.0,380.0,400.0,370.0,310.0,40
390.0,380.0,400.0,370.0,310.0,40.0,50
380.0,400.0,370.0,310.0,40.0,50.0,70
400.0,370.0,310.0,40.0,50.0,70.0,60
370.0,310.0,40.0,50.0,70.0,60.0,90
310.0,40.0,50.0,70.0,60.0,90.0,60
40.0,50.0,70.0,60.0,90.0,60.0,60
50.0,70.0,60.0,90.0,60.0,60.0,100
70.0,60.0,90.0,60.0,60.0,100.0,380
60.0,90.0,60.0,60.0,100.0,380.0,390
90.0,60.0,60.0,100.0,380.0,390.0,130
60.0,60.0,100.0,380.0,390.0,130.0,60
60.0,100.0,380.0,390.0,130.0,60.0,60
100.0,380.0,390.0,130.0,60.0,60.0,50
380.0,390.0,130.0,60.0,60.0,50.0,60
